start,chapter,hour,day
2017-07-01T16:00:00Z,rladies-buenos-aires,16,Saturday
2017-07-01T17:30:00Z,rladies-buenos-aires,17,Saturday
2017-03-28T18:00:00Z,rladies-buenos-aires,18,Tuesday
2017-05-27T15:30:00Z,rladies-buenos-aires,15,Saturday
2017-04-20T20:00:00Z,rladies-santa-rosa,20,Thursday
2017-06-15T17:30:00Z,R-Ladies-Melbourne,17,Thursday
2016-10-18T18:30:00Z,R-Ladies-Melbourne,18,Tuesday
2016-11-18T12:30:00Z,R-Ladies-Melbourne,12,Friday
2016-11-24T17:15:00Z,R-Ladies-Melbourne,17,Thursday
2016-12-07T18:00:00Z,R-Ladies-Melbourne,18,Wednesday
2016-12-13T18:00:00Z,R-Ladies-Melbourne,18,Tuesday
2016-12-14T17:30:00Z,R-Ladies-Melbourne,17,Wednesday
2017-02-20T17:30:00Z,R-Ladies-Melbourne,17,Monday
2017-03-02T20:00:00Z,R-Ladies-Melbourne,20,Thursday
2017-03-08T08:00:00Z,R-Ladies-Melbourne,8,Wednesday
2017-03-15T18:30:00Z,R-Ladies-Melbourne,18,Wednesday
2017-03-30T17:30:00Z,R-Ladies-Melbourne,17,Thursday
2017-05-04T17:30:00Z,R-Ladies-Melbourne,17,Thursday
2017-05-22T17:30:00Z,R-Ladies-Melbourne,17,Monday
2017-05-23T17:45:00Z,R-Ladies-Melbourne,17,Tuesday
2017-03-08T17:00:00Z,rladies-adelaide,17,Wednesday
2017-05-25T17:00:00Z,rladies-adelaide,17,Thursday
2017-07-18T19:00:00Z,R-Ladies-Rio-de-Janeiro,19,Tuesday
2017-05-18T19:00:00Z,R-Ladies-Rio-de-Janeiro,19,Thursday
2017-01-26T19:00:00Z,rladies-ldnont,19,Thursday
2017-03-04T16:00:00Z,rladies-ldnont,16,Saturday
2017-04-03T16:00:00Z,rladies-ldnont,16,Monday
2017-05-01T15:30:00Z,rladies-ldnont,15,Monday
2017-06-01T16:00:00Z,rladies-ldnont,16,Thursday
2016-10-05T19:30:00Z,rladies-paris,19,Wednesday
2016-11-03T18:30:00Z,rladies-paris,18,Thursday
2016-12-12T18:30:00Z,rladies-paris,18,Monday
2017-01-17T18:00:00Z,rladies-paris,18,Tuesday
2017-02-16T19:30:00Z,rladies-paris,19,Thursday
2017-03-08T18:30:00Z,rladies-paris,18,Wednesday
2017-04-20T19:00:00Z,rladies-paris,19,Thursday
2017-06-15T19:00:00Z,R-Ladies-Tbilisi,19,Thursday
2017-06-20T19:00:00Z,R-Ladies-Tbilisi,19,Tuesday
2016-12-08T19:00:00Z,R-Ladies-Tbilisi,19,Thursday
2016-12-13T19:00:00Z,R-Ladies-Tbilisi,19,Tuesday
2016-12-22T19:00:00Z,R-Ladies-Tbilisi,19,Thursday
2016-12-27T19:00:00Z,R-Ladies-Tbilisi,19,Tuesday
2017-01-26T19:00:00Z,R-Ladies-Tbilisi,19,Thursday
2017-02-09T19:00:00Z,R-Ladies-Tbilisi,19,Thursday
2017-02-23T19:00:00Z,R-Ladies-Tbilisi,19,Thursday
2017-03-09T19:15:00Z,R-Ladies-Tbilisi,19,Thursday
2017-03-14T19:15:00Z,R-Ladies-Tbilisi,19,Tuesday
2017-03-16T19:15:00Z,R-Ladies-Tbilisi,19,Thursday
2017-04-06T19:00:00Z,R-Ladies-Tbilisi,19,Thursday
2017-04-10T19:00:00Z,R-Ladies-Tbilisi,19,Monday
2017-04-11T19:00:00Z,R-Ladies-Tbilisi,19,Tuesday
2017-04-12T19:00:00Z,R-Ladies-Tbilisi,19,Wednesday
2017-05-04T19:00:00Z,R-Ladies-Tbilisi,19,Thursday
2017-05-16T19:00:00Z,R-Ladies-Tbilisi,19,Tuesday
2017-05-18T19:00:00Z,R-Ladies-Tbilisi,19,Thursday
2017-05-22T19:00:00Z,R-Ladies-Tbilisi,19,Monday
2017-05-24T19:00:00Z,R-Ladies-Tbilisi,19,Wednesday
2017-05-30T19:00:00Z,R-Ladies-Tbilisi,19,Tuesday
2017-06-08T19:00:00Z,R-Ladies-Tbilisi,19,Thursday
2017-06-20T18:30:00Z,R-Ladies-Berlin,18,Tuesday
2016-12-13T16:30:00Z,R-Ladies-Berlin,16,Tuesday
2017-02-02T18:30:00Z,R-Ladies-Berlin,18,Thursday
2017-03-30T18:30:00Z,R-Ladies-Berlin,18,Thursday
2017-05-09T18:30:00Z,R-Ladies-Berlin,18,Tuesday
2017-06-21T19:15:00Z,rladies-munich,19,Wednesday
2017-04-26T18:30:00Z,rladies-munich,18,Wednesday
